container;element;operation;n (elements);max resident (elements);average total time (us);total time stddev (us);min total time (us);max total time (us);max rss (kB)
std::set;String32;upsert;131,072;262,123;78,713.033;3,053.786;74,113.000;90,459.000;29,312
std::set;String32;lookupFind;131,072;262,123;89,856.133;7,969.333;81,965.000;110,396.000;29,312
std::set;String32;lookupFail;131,072;262,123;79,901.733;3,538.041;76,782.000;90,834.000;29,312
std::set;String32;remove;131,072;262,123;87,359.300;2,049.128;84,801.000;94,817.000;29,312
std::set;int;upsert;262,144;524,228;115,422.867;2,777.453;112,713.000;122,826.000;27,392
std::set;int;lookupFind;262,144;524,228;136,581.600;2,209.358;134,331.000;143,423.000;27,392
std::set;int;lookupFail;262,144;524,228;130,312.100;5,713.341;126,913.000;158,530.000;27,392
std::set;int;remove;262,144;524,228;138,852.133;1,780.827;136,815.000;143,455.000;27,392
std::set;String32;upsert;262,144;524,228;219,430.700;9,381.323;171,284.000;225,637.000;58,112
std::set;String32;lookupFind;262,144;524,228;218,443.967;1,840.732;215,722.000;222,863.000;58,112
std::set;String32;lookupFail;262,144;524,228;208,008.600;1,985.199;204,647.000;212,064.000;58,112
std::set;String32;remove;262,144;524,228;232,443.300;1,834.965;229,144.000;238,059.000;58,112
std::set;int;upsert;524,288;1,048,310;325,810.233;9,274.674;280,043.000;338,589.000;53,888
std::set;int;lookupFind;524,288;1,048,310;368,764.133;4,690.409;350,858.000;376,289.000;53,888
std::set;int;lookupFail;524,288;1,048,310;354,356.733;6,320.789;341,930.000;383,814.000;53,888
std::set;int;remove;524,288;1,048,310;385,284.767;22,233.836;373,539.000;470,479.000;53,888
std::set;String32;upsert;524,288;1,048,310;559,581.267;18,985.184;463,371.000;582,083.000;115,328
std::set;String32;lookupFind;524,288;1,048,310;540,344.000;7,074.832;505,650.000;545,244.000;115,328
std::set;String32;lookupFail;524,288;1,048,310;520,917.333;5,182.838;514,866.000;543,524.000;115,328
std::set;String32;remove;524,288;1,048,310;572,312.400;2,955.882;566,651.000;581,548.000;115,328
std::set;int;upsert;1,048,576;2,096,120;853,759.567;31,449.835;687,776.000;866,599.000;107,136
std::set;int;lookupFind;1,048,576;2,096,120;979,317.900;33,584.327;947,166.000;1,102,076.000;107,136
std::set;int;lookupFail;1,048,576;2,096,120;927,315.067;34,894.085;895,800.000;1,066,934.000;107,136
std::set;int;remove;1,048,576;2,096,120;1,071,649.367;97,779.669;956,326.000;1,312,286.000;107,136
std::set;String32;upsert;1,048,576;2,096,120;1,453,334.233;113,269.251;1,179,915.000;1,652,593.000;230,016
std::set;String32;lookupFind;1,048,576;2,096,120;1,286,400.733;28,127.391;1,264,076.000;1,424,815.000;230,016
std::set;String32;lookupFail;1,048,576;2,096,120;1,246,256.333;47,158.833;1,220,723.000;1,434,113.000;230,016
std::set;String32;remove;1,048,576;2,096,120;1,357,563.633;24,750.341;1,335,300.000;1,439,514.000;230,016
std::unordered_set;int;upsert;16;32;2.867;2.013;2.000;13.000;896
std::unordered_set;int;lookupFind;16;32;1.833;0.379;1.000;2.000;896
std::unordered_set;int;lookupFail;16;32;2.100;0.607;1.000;4.000;896
std::unordered_set;int;remove;16;32;2.833;0.461;2.000;4.000;896
std::unordered_set;String32;upsert;16;32;10.300;2.493;8.000;21.000;896
std::unordered_set;String32;lookupFind;16;32;6.067;0.740;5.000;8.000;896
std::unordered_set;String32;lookupFail;16;32;9.933;0.944;8.000;12.000;896
std::unordered_set;String32;remove;16;32;4.600;0.498;4.000;5.000;896
std::unordered_set;int;upsert;32;64;3.267;1.552;2.000;11.000;896
std::unordered_set;int;lookupFind;32;64;2.300;0.535;2.000;4.000;896
std::unordered_set;int;lookupFail;32;64;1.833;0.379;1.000;2.000;896
std::unordered_set;int;remove;32;64;2.767;0.430;2.000;3.000;896
std::unordered_set;String32;upsert;32;64;16.500;5.999;12.000;38.000;896
std::unordered_set;String32;lookupFind;32;64;16.267;4.076;13.000;32.000;896
std::unordered_set;String32;lookupFail;32;64;29.900;5.202;22.000;37.000;896
std::unordered_set;String32;remove;32;64;10.533;0.900;9.000;13.000;896
std::unordered_set;int;upsert;64;128;5.167;2.335;4.000;17.000;896
std::unordered_set;int;lookupFind;64;128;2.167;0.379;2.000;3.000;896
std::unordered_set;int;lookupFail;64;128;2.200;0.407;2.000;3.000;896
std::unordered_set;int;remove;64;128;3.900;0.403;3.000;5.000;896
std::unordered_set;String32;upsert;64;128;41.233;2.161;39.000;51.000;896
std::unordered_set;String32;lookupFind;64;128;43.700;4.610;40.000;67.000;896
std::unordered_set;String32;lookupFail;64;128;87.733;10.628;79.000;129.000;896
std::unordered_set;String32;remove;64;128;25.267;5.753;18.000;43.000;896
std::unordered_set;int;upsert;128;256;8.967;3.189;8.000;25.000;896
std::unordered_set;int;lookupFind;128;256;2.900;0.305;2.000;3.000;896
std::unordered_set;int;lookupFail;128;256;3.100;0.305;3.000;4.000;896
std::unordered_set;int;remove;128;256;8.900;2.893;6.000;22.000;896
std::unordered_set;String32;upsert;128;256;269.633;26.528;218.000;324.000;896
std::unordered_set;String32;lookupFind;128;256;200.333;33.620;160.000;250.000;896
std::unordered_set;String32;lookupFail;128;256;323.233;61.238;264.000;448.000;896
std::unordered_set;String32;remove;128;256;40.000;2.754;37.000;47.000;896
std::unordered_set;int;upsert;256;512;17.867;4.100;16.000;34.000;896
std::unordered_set;int;lookupFind;256;512;5.100;0.712;4.000;7.000;896
std::unordered_set;int;lookupFail;256;512;6.633;2.697;4.000;13.000;896
std::unordered_set;int;remove;256;512;11.600;0.894;10.000;14.000;896
std::unordered_set;String32;upsert;256;512;541.667;58.606;471.000;715.000;896
std::unordered_set;String32;lookupFind;256;512;676.500;125.368;558.000;1,042.000;896
std::unordered_set;String32;lookupFail;256;512;1,207.100;236.889;1,005.000;2,250.000;896
std::unordered_set;String32;remove;256;512;451.100;35.365;421.000;559.000;896
std::unordered_set;int;upsert;512;1,024;41.800;10.512;35.000;75.000;896
std::unordered_set;int;lookupFind;512;1,024;10.067;5.099;8.000;25.000;896
std::unordered_set;int;lookupFail;512;1,024;12.033;6.223;8.000;27.000;896
std::unordered_set;int;remove;512;1,024;30.600;16.162;19.000;85.000;896
std::unordered_set;String32;upsert;512;1,024;2,671.500;477.698;1,931.000;3,595.000;896
std::unordered_set;String32;lookupFind;512;1,024;2,368.333;341.962;2,093.000;3,726.000;896
std::unordered_set;String32;lookupFail;512;1,024;4,990.400;1,053.201;4,061.000;7,717.000;896
std::unordered_set;String32;remove;512;1,024;1,790.400;94.025;1,660.000;2,048.000;896
std::unordered_set;int;upsert;1,024;2,048;116.033;20.258;85.000;162.000;1,024
std::unordered_set;int;lookupFind;1,024;2,048;31.200;7.984;21.000;52.000;1,024
std::unordered_set;int;lookupFail;1,024;2,048;20.000;4.243;17.000;35.000;1,024
std::unordered_set;int;remove;1,024;2,048;52.133;12.417;41.000;87.000;1,024
std::unordered_set;String32;upsert;1,024;2,048;7,691.767;1,032.908;6,624.000;10,941.000;896
std::unordered_set;String32;lookupFind;1,024;2,048;9,160.833;988.030;7,954.000;13,103.000;896
std::unordered_set;String32;lookupFail;1,024;2,048;15,862.867;764.352;14,924.000;18,007.000;896
std::unordered_set;String32;remove;1,024;2,048;6,272.400;364.974;5,594.000;7,086.000;896
std::unordered_set;int;upsert;2,048;4,096;170.867;50.324;127.000;338.000;1,152
std::unordered_set;int;lookupFind;2,048;4,096;46.200;10.804;39.000;86.000;1,152
std::unordered_set;int;lookupFail;2,048;4,096;40.867;7.886;36.000;71.000;1,152
std::unordered_set;int;remove;2,048;4,096;96.633;20.543;78.000;188.000;1,152
std::unordered_set;String32;upsert;2,048;4,096;28,090.833;1,790.524;26,418.000;34,785.000;1,152
std::unordered_set;String32;lookupFind;2,048;4,096;29,740.467;1,711.485;27,706.000;33,634.000;1,152
std::unordered_set;String32;lookupFail;2,048;4,096;61,717.400;8,008.686;54,938.000;92,043.000;1,152
std::unordered_set;String32;remove;2,048;4,096;23,291.267;1,091.266;21,740.000;26,000.000;1,152
std::unordered_set;int;upsert;4,096;8,192;376.433;90.282;263.000;631.000;1,280
std::unordered_set;int;lookupFind;4,096;8,192;101.067;35.116;79.000;221.000;1,280
std::unordered_set;int;lookupFail;4,096;8,192;82.567;17.647;71.000;139.000;1,280
std::unordered_set;int;remove;4,096;8,192;172.267;28.049;157.000;268.000;1,280
std::unordered_set;String32;upsert;4,096;8,192;102,622.333;3,821.674;99,108.000;116,554.000;1,536
std::unordered_set;String32;lookupFind;4,096;8,192;115,066.633;8,664.783;109,773.000;159,079.000;1,536
std::unordered_set;String32;lookupFail;4,096;8,192;237,284.167;20,697.443;223,691.000;310,362.000;1,536
std::unordered_set;String32;remove;4,096;8,192;86,420.500;2,674.029;83,411.000;95,291.000;1,536
std::unordered_set;int;upsert;8,192;16,383;691.867;155.359;556.000;1,116.000;1,536
std::unordered_set;int;lookupFind;8,192;16,383;218.933;74.951;160.000;464.000;1,536
std::unordered_set;int;lookupFail;8,192;16,383;159.367;19.157;149.000;238.000;1,536
std::unordered_set;int;remove;8,192;16,383;344.367;13.140;339.000;391.000;1,536
std::unordered_set;String32;upsert;8,192;16,383;581,765.600;65,124.386;480,617.000;646,540.000;2,456
std::unordered_set;String32;lookupFind;8,192;16,383;533,929.833;44,216.986;481,972.000;677,556.000;2,456
std::unordered_set;String32;lookupFail;8,192;16,383;996,221.333;63,963.184;905,572.000;1,139,832.000;2,456
std::unordered_set;String32;remove;8,192;16,383;340,667.633;4,825.791;335,369.000;357,069.000;2,456
std::unordered_set;int;upsert;16,384;32,766;1,423.000;234.234;1,209.000;2,161.000;2,304
std::unordered_set;int;lookupFind;16,384;32,766;363.033;68.716;334.000;697.000;2,304
std::unordered_set;int;lookupFail;16,384;32,766;321.533;16.258;312.000;366.000;2,304
std::unordered_set;int;remove;16,384;32,766;795.933;32.736;749.000;889.000;2,304
std::unordered_set;String32;upsert;16,384;32,766;;;;;
std::unordered_set;String32;lookupFind;16,384;32,766;;;;;
std::unordered_set;String32;lookupFail;16,384;32,766;;;;;
std::unordered_set;String32;remove;16,384;32,766;;;;;
std::unordered_set;int;upsert;32,768;65,534;3,260.200;811.770;2,545.000;5,345.000;3,776
std::unordered_set;int;lookupFind;32,768;65,534;713.467;23.814;691.000;785.000;3,776
std::unordered_set;int;lookupFail;32,768;65,534;684.033;27.839;658.000;746.000;3,776
std::unordered_set;int;remove;32,768;65,534;1,686.867;55.935;1,614.000;1,858.000;3,776
std::unordered_set;String32;upsert;32,768;65,534;;;;;
std::unordered_set;String32;lookupFind;32,768;65,534;;;;;
std::unordered_set;String32;lookupFail;32,768;65,534;;;;;
std::unordered_set;String32;remove;32,768;65,534;;;;;
std::unordered_set;int;upsert;65,536;131,066;6,474.633;2,031.704;5,448.000;13,063.000;6,748
std::unordered_set;int;lookupFind;65,536;131,066;1,581.600;348.122;1,436.000;3,279.000;6,748
std::unordered_set;int;lookupFail;65,536;131,066;1,458.000;104.573;1,387.000;1,912.000;6,748
std::unordered_set;int;remove;65,536;131,066;3,631.900;230.173;3,432.000;4,392.000;6,748
std::unordered_set;String32;upsert;65,536;131,066;;;;;
std::unordered_set;String32;lookupFind;65,536;131,066;;;;;
std::unordered_set;String32;lookupFail;65,536;131,066;;;;;
std::unordered_set;String32;remove;65,536;131,066;;;;;
std::unordered_set;int;upsert;131,072;262,123;14,483.100;5,336.318;12,009.000;33,785.000;12,736
std::unordered_set;int;lookupFind;131,072;262,123;3,698.633;444.535;3,469.000;5,737.000;12,736
std::unordered_set;int;lookupFail;131,072;262,123;5,047.767;485.189;4,675.000;6,830.000;12,736
std::unordered_set;int;remove;131,072;262,123;8,127.200;345.336;7,733.000;9,244.000;12,736
std::unordered_set;String32;upsert;131,072;262,123;;;;;
std::unordered_set;String32;lookupFind;131,072;262,123;;;;;
std::unordered_set;String32;lookupFail;131,072;262,123;;;;;
std::unordered_set;String32;remove;131,072;262,123;;;;;
std::unordered_set;int;upsert;262,144;524,228;44,587.533;7,173.191;41,429.000;77,462.000;24,760
std::unordered_set;int;lookupFind;262,144;524,228;13,260.167;615.019;12,898.000;15,578.000;24,760
std::unordered_set;int;lookupFail;262,144;524,228;15,167.867;457.967;14,874.000;17,448.000;24,760
std::unordered_set;int;remove;262,144;524,228;29,418.400;1,392.746;28,388.000;34,941.000;24,760
std::unordered_set;String32;upsert;262,144;524,228;;;;;
std::unordered_set;String32;lookupFind;262,144;524,228;;;;;
std::unordered_set;String32;lookupFail;262,144;524,228;;;;;
std::unordered_set;String32;remove;262,144;524,228;;;;;
std::unordered_set;int;upsert;524,288;1,048,310;133,873.433;10,970.966;125,374.000;175,043.000;48,984
std::unordered_set;int;lookupFind;524,288;1,048,310;33,552.367;473.647;32,303.000;34,794.000;48,984
std::unordered_set;int;lookupFail;524,288;1,048,310;37,296.967;591.165;35,016.000;38,554.000;48,984
std::unordered_set;int;remove;524,288;1,048,310;91,894.167;1,013.121;90,743.000;93,919.000;48,984
std::unordered_set;String32;upsert;524,288;1,048,310;;;;;
std::unordered_set;String32;lookupFind;524,288;1,048,310;;;;;
std::unordered_set;String32;lookupFail;524,288;1,048,310;;;;;
std::unordered_set;String32;remove;524,288;1,048,310;;;;;
std::unordered_set;int;upsert;1,048,576;2,096,120;347,907.867;24,292.513;321,769.000;467,232.000;97,460
std::unordered_set;int;lookupFind;1,048,576;2,096,120;79,067.800;905.309;75,367.000;81,307.000;97,460
std::unordered_set;int;lookupFail;1,048,576;2,096,120;86,494.667;1,479.896;79,230.000;88,985.000;97,460
std::unordered_set;int;remove;1,048,576;2,096,120;244,974.833;1,300.941;242,560.000;248,079.000;97,460
std::unordered_set;String32;upsert;1,048,576;2,096,120;;;;;
std::unordered_set;String32;lookupFind;1,048,576;2,096,120;;;;;
std::unordered_set;String32;lookupFail;1,048,576;2,096,120;;;;;
std::unordered_set;String32;remove;1,048,576;2,096,120;;;;;
